"","x"
"WBGene00003862",1
"WBGene00003864",2
"WBGene00003865",4
"WBGene00003868",4
"WBGene00003876",4
"WBGene00003877",1
"WBGene00003878",4
"WBGene00003879",6
"WBGene00003888",5
"WBGene00003891",2
"WBGene00003893",5
"WBGene00003902",2
"WBGene00003903",2
"WBGene00003904",6
"WBGene00003911",1
"WBGene00003914",5
"WBGene00003915",1
"WBGene00003917",2
"WBGene00003920",6
"WBGene00003922",3
"WBGene00003923",5
"WBGene00003924",3
"WBGene00003925",3
"WBGene00003926",3
"WBGene00003927",5
"WBGene00003928",3
"WBGene00003929",1
"WBGene00003930",1
"WBGene00003931",5
"WBGene00003932",3
"WBGene00003933",6
"WBGene00003934",3
"WBGene00003936",1
"WBGene00003941",1
"WBGene00003943",1
"WBGene00003947",6
"WBGene00003948",5
"WBGene00003949",3
"WBGene00003950",5
"WBGene00003951",3
"WBGene00003952",3
"WBGene00003953",3
"WBGene00003955",6
"WBGene00003956",4
"WBGene00003957",6
"WBGene00003958",3
"WBGene00003959",5
"WBGene00003961",4
"WBGene00003962",3
"WBGene00003963",5
"WBGene00003964",5
"WBGene00003966",4
"WBGene00003968",3
"WBGene00003969",4
"WBGene00003975",6
"WBGene00003979",5
"WBGene00003982",5
"WBGene00003986",1
"WBGene00003989",6
"WBGene00003990",3
"WBGene00003991",5
"WBGene00003992",2
"WBGene00003994",2
"WBGene00003995",5
"WBGene00003996",5
"WBGene00003997",1
"WBGene00003998",4
"WBGene00003999",1
"WBGene00004004",4
"WBGene00004005",4
"WBGene00004006",1
"WBGene00004007",6
"WBGene00004010",1
"WBGene00004014",6
"WBGene00004015",1
"WBGene00004016",2
"WBGene00004017",5
"WBGene00004020",1
"WBGene00004023",2
"WBGene00004025",3
"WBGene00004027",2
"WBGene00004030",2
"WBGene00004033",5
"WBGene00004034",5
"WBGene00004039",4
"WBGene00004040",1
"WBGene00004042",2
"WBGene00004043",2
"WBGene00004044",2
"WBGene00004046",2
"WBGene00004058",1
"WBGene00004059",4
"WBGene00004061",5
"WBGene00004062",5
"WBGene00004068",3
"WBGene00004075",2
"WBGene00004076",1
"WBGene00004078",2
"WBGene00004083",4
"WBGene00004085",6
"WBGene00004087",1
"WBGene00004091",5
"WBGene00004092",2
"WBGene00004093",4
"WBGene00004094",2
"WBGene00004096",1
"WBGene00004101",5
"WBGene00004102",6
"WBGene00004108",4
"WBGene00004109",3
"WBGene00004111",1
"WBGene00004112",1
"WBGene00004113",4
"WBGene00004114",2
"WBGene00004117",1
"WBGene00004119",1
"WBGene00004120",5
"WBGene00004121",1
"WBGene00004124",4
"WBGene00004127",6
"WBGene00004129",4
"WBGene00004130",4
"WBGene00004133",5
"WBGene00004134",1
"WBGene00004135",2
"WBGene00004136",2
"WBGene00004138",2
"WBGene00004140",5
"WBGene00004143",2
"WBGene00004155",5
"WBGene00004157",2
"WBGene00004163",2
"WBGene00004164",4
"WBGene00004168",4
"WBGene00004169",4
"WBGene00004172",2
"WBGene00004173",4
"WBGene00004175",6
"WBGene00004178",2
"WBGene00004181",6
"WBGene00004183",4
"WBGene00004185",1
"WBGene00004186",1
"WBGene00004189",5
"WBGene00004190",6
"WBGene00004191",5
"WBGene00004196",1
"WBGene00004206",5
"WBGene00004210",5
"WBGene00004213",4
"WBGene00004216",5
"WBGene00004217",5
"WBGene00004218",4
"WBGene00004219",5
"WBGene00004221",5
"WBGene00004222",4
"WBGene00004224",3
"WBGene00004225",5
"WBGene00004226",4
"WBGene00004227",4
"WBGene00004228",6
"WBGene00004229",3
"WBGene00004230",6
"WBGene00004231",5
"WBGene00004232",5
"WBGene00004233",5
"WBGene00004234",4
"WBGene00004236",2
"WBGene00004238",4
"WBGene00004241",2
"WBGene00004242",6
"WBGene00004243",2
"WBGene00004244",2
"WBGene00004248",2
"WBGene00004249",2
"WBGene00004256",4
"WBGene00004257",1
"WBGene00004258",5
"WBGene00004259",5
"WBGene00004264",5
"WBGene00004266",6
"WBGene00004267",4
"WBGene00004269",6
"WBGene00004270",5
"WBGene00004272",2
"WBGene00004275",4
"WBGene00004276",3
"WBGene00004278",4
"WBGene00004279",2
"WBGene00004282",3
"WBGene00004283",5
"WBGene00004296",1
"WBGene00004302",6
"WBGene00004303",1
"WBGene00004305",1
"WBGene00004308",4
"WBGene00004309",6
"WBGene00004311",3
"WBGene00004315",1
"WBGene00004317",2
"WBGene00004320",6
"WBGene00004321",2
"WBGene00004323",1
"WBGene00004333",2
"WBGene00004334",1
"WBGene00004336",3
"WBGene00004338",6
"WBGene00004346",4
"WBGene00004348",5
"WBGene00004350",1
"WBGene00004357",1
"WBGene00004359",4
"WBGene00004363",1
"WBGene00004364",4
"WBGene00004368",2
"WBGene00004370",1
"WBGene00004373",5
"WBGene00004380",2
"WBGene00004381",6
"WBGene00004382",2
"WBGene00004385",6
"WBGene00004387",6
"WBGene00004388",6
"WBGene00004390",6
"WBGene00004391",5
"WBGene00004392",5
"WBGene00004393",4
"WBGene00004395",5
"WBGene00004397",6
"WBGene00004398",3
"WBGene00004400",1
"WBGene00004405",3
"WBGene00004408",2
"WBGene00004409",6
"WBGene00004410",6
"WBGene00004412",6
"WBGene00004413",6
"WBGene00004414",2
"WBGene00004415",6
"WBGene00004416",6
"WBGene00004417",2
"WBGene00004418",2
"WBGene00004419",6
"WBGene00004420",6
"WBGene00004421",6
"WBGene00004422",2
"WBGene00004423",6
"WBGene00004424",6
"WBGene00004425",6
"WBGene00004426",6
"WBGene00004427",6
"WBGene00004428",6
"WBGene00004429",6
"WBGene00004430",6
"WBGene00004431",2
"WBGene00004432",6
"WBGene00004433",6
"WBGene00004434",6
"WBGene00004435",6
"WBGene00004436",6
"WBGene00004437",2
"WBGene00004438",6
"WBGene00004439",2
"WBGene00004440",6
"WBGene00004441",6
"WBGene00004442",6
"WBGene00004443",6
"WBGene00004444",6
"WBGene00004445",6
"WBGene00004446",6
"WBGene00004447",6
"WBGene00004448",6
"WBGene00004449",6
"WBGene00004450",6
"WBGene00004451",6
"WBGene00004452",6
"WBGene00004453",6
"WBGene00004454",2
"WBGene00004456",6
"WBGene00004458",5
"WBGene00004459",3
"WBGene00004460",3
"WBGene00004461",3
"WBGene00004463",3
"WBGene00004464",5
"WBGene00004465",5
"WBGene00004466",3
"WBGene00004467",3
"WBGene00004468",3
"WBGene00004469",6
"WBGene00004470",6
"WBGene00004471",6
"WBGene00004472",6
"WBGene00004473",6
"WBGene00004474",6
"WBGene00004475",6
"WBGene00004476",2
"WBGene00004477",6
"WBGene00004478",6
"WBGene00004479",6
"WBGene00004480",6
"WBGene00004481",6
"WBGene00004482",6
"WBGene00004483",6
"WBGene00004484",6
"WBGene00004485",6
"WBGene00004486",2
"WBGene00004487",6
"WBGene00004488",2
"WBGene00004489",6
"WBGene00004490",6
"WBGene00004491",6
"WBGene00004492",6
"WBGene00004493",6
"WBGene00004494",6
"WBGene00004495",6
"WBGene00004496",6
"WBGene00004497",6
"WBGene00004498",6
"WBGene00004499",6
"WBGene00004501",3
"WBGene00004502",5
"WBGene00004503",5
"WBGene00004504",3
"WBGene00004505",5
"WBGene00004506",5
"WBGene00004507",1
"WBGene00004508",1
"WBGene00004509",2
"WBGene00004512",6
"WBGene00004513",6
"WBGene00004567",6
"WBGene00004622",6
"WBGene00004677",6
"WBGene00004679",2
"WBGene00004680",2
"WBGene00004682",2
"WBGene00004698",6
"WBGene00004699",6
"WBGene00004700",6
"WBGene00004701",6
"WBGene00004702",6
"WBGene00004703",6
"WBGene00004704",1
"WBGene00004705",6
"WBGene00004706",1
"WBGene00004723",1
"WBGene00004727",2
"WBGene00004732",1
"WBGene00004735",3
"WBGene00004740",2
"WBGene00004742",4
"WBGene00004743",5
"WBGene00004746",1
"WBGene00004752",1
"WBGene00004754",5
"WBGene00004755",5
"WBGene00004758",2
"WBGene00004764",4
"WBGene00004766",3
"WBGene00004768",3
"WBGene00004771",4
"WBGene00004775",2
"WBGene00004778",4
"WBGene00004786",5
"WBGene00004788",5
"WBGene00004789",1
"WBGene00004790",3
"WBGene00004796",4
"WBGene00004798",2
"WBGene00004801",5
"WBGene00004804",2
"WBGene00004807",2
"WBGene00004808",2
"WBGene00004809",3
"WBGene00004810",4
"WBGene00004811",4
"WBGene00004823",2
"WBGene00004824",2
"WBGene00004825",2
"WBGene00004827",4
"WBGene00004830",1
"WBGene00004831",1
"WBGene00004854",1
"WBGene00004856",2
"WBGene00004857",1
"WBGene00004859",4
"WBGene00004874",1
"WBGene00004875",5
"WBGene00004876",4
"WBGene00004877",2
"WBGene00004881",1
"WBGene00004886",2
"WBGene00004888",6
"WBGene00004889",4
"WBGene00004890",3
"WBGene00004891",6
"WBGene00004892",4
"WBGene00004894",4
"WBGene00004897",4
"WBGene00004900",4
"WBGene00004902",4
"WBGene00004910",1
"WBGene00004911",4
"WBGene00004912",4
"WBGene00004914",6
"WBGene00004915",6
"WBGene00004916",6
"WBGene00004917",6
"WBGene00004918",6
"WBGene00004919",6
"WBGene00004920",6
"WBGene00004921",4
"WBGene00004923",4
"WBGene00004924",2
"WBGene00004925",1
"WBGene00004926",2
"WBGene00004927",3
"WBGene00004928",4
"WBGene00004929",1
"WBGene00004930",3
"WBGene00004931",3
"WBGene00004932",4
"WBGene00004933",2
"WBGene00004952",2
"WBGene00004955",1
"WBGene00004958",6
"WBGene00004971",6
"WBGene00004974",1
"WBGene00004978",1
"WBGene00004979",4
"WBGene00004981",5
"WBGene00004984",2
"WBGene00004986",3
"WBGene00004987",3
"WBGene00004988",5
"WBGene00004989",3
"WBGene00004990",3
"WBGene00004992",6
"WBGene00004993",3
"WBGene00004994",5
"WBGene00004995",3
"WBGene00004996",2
"WBGene00004998",3
"WBGene00004999",5
"WBGene00005000",3
"WBGene00005002",3
"WBGene00005003",3
"WBGene00005005",4
"WBGene00005011",6
"WBGene00005014",6
"WBGene00005016",6
"WBGene00005017",6
"WBGene00005018",5
"WBGene00005022",5
"WBGene00005025",5
"WBGene00005077",3
"WBGene00005078",5
"WBGene00005105",2
"WBGene00005106",2
"WBGene00005153",5
"WBGene00005165",2
"WBGene00005188",4
"WBGene00005362",2
"WBGene00005617",3
"WBGene00005642",4
"WBGene00005643",2
"WBGene00005644",4
"WBGene00005647",4
"WBGene00005648",3
"WBGene00005652",6
"WBGene00005653",4
"WBGene00005655",4
"WBGene00005657",4
"WBGene00005663",2
"WBGene00005694",4
"WBGene00005712",4
"WBGene00005833",2
"WBGene00005983",2
"WBGene00006005",4
"WBGene00006044",6
"WBGene00006052",6
"WBGene00006053",6
"WBGene00006059",5
"WBGene00006060",3
"WBGene00006062",1
"WBGene00006063",2
"WBGene00006064",4
"WBGene00006066",4
"WBGene00006067",3
"WBGene00006075",6
"WBGene00006175",4
"WBGene00006212",1
"WBGene00006220",2
"WBGene00006248",3
"WBGene00006288",4
"WBGene00006308",1
"WBGene00006311",2
"WBGene00006319",4
"WBGene00006331",1
"WBGene00006351",3
"WBGene00006352",2
"WBGene00006359",1
"WBGene00006364",1
"WBGene00006365",1
"WBGene00006366",3
"WBGene00006367",3
"WBGene00006368",4
"WBGene00006372",4
"WBGene00006374",2
"WBGene00006375",2
"WBGene00006376",2
"WBGene00006377",2
"WBGene00006381",6
"WBGene00006382",1
"WBGene00006383",2
"WBGene00006387",2
"WBGene00006389",2
"WBGene00006391",2
"WBGene00006392",2
"WBGene00006404",3
"WBGene00006407",1
"WBGene00006408",4
"WBGene00006410",3
"WBGene00006412",1
"WBGene00006416",6
"WBGene00006418",5
"WBGene00006419",2
"WBGene00006423",5
"WBGene00006424",3
"WBGene00006431",2
"WBGene00006432",3
"WBGene00006433",6
"WBGene00006434",5
"WBGene00006439",6
"WBGene00006446",3
"WBGene00006447",1
"WBGene00006452",5
"WBGene00006454",1
"WBGene00006461",6
"WBGene00006462",2
"WBGene00006463",2
"WBGene00006464",2
"WBGene00006467",4
"WBGene00006468",1
"WBGene00006470",4
"WBGene00006472",3
"WBGene00006479",4
"WBGene00006486",4
"WBGene00006487",4
"WBGene00006493",2
"WBGene00006494",5
"WBGene00006495",2
"WBGene00006496",5
"WBGene00006497",2
"WBGene00006499",2
"WBGene00006508",5
"WBGene00006509",6
"WBGene00006510",5
"WBGene00006512",1
"WBGene00006515",5
"WBGene00006518",1
"WBGene00006519",2
"WBGene00006522",5
"WBGene00006523",2
"WBGene00006524",1
"WBGene00006528",5
"WBGene00006529",5
"WBGene00006530",5
"WBGene00006532",1
"WBGene00006533",3
"WBGene00006534",3
"WBGene00006536",5
"WBGene00006537",5
"WBGene00006538",3
"WBGene00006542",2
"WBGene00006562",5
"WBGene00006565",5
"WBGene00006567",2
"WBGene00006568",3
"WBGene00006570",2
"WBGene00006573",6
"WBGene00006574",6
"WBGene00006578",4
"WBGene00006583",4
"WBGene00006584",1
"WBGene00006585",1
"WBGene00006586",1
"WBGene00006587",4
"WBGene00006590",3
"WBGene00006592",3
"WBGene00006595",1
"WBGene00006599",4
"WBGene00006601",5
"WBGene00006602",4
"WBGene00006604",3
"WBGene00006606",3
"WBGene00006607",1
"WBGene00006609",1
"WBGene00006610",5
"WBGene00006611",4
"WBGene00006613",1
"WBGene00006620",1
"WBGene00006621",3
"WBGene00006622",4
"WBGene00006623",4
"WBGene00006626",5
"WBGene00006629",2
"WBGene00006632",4
"WBGene00006633",4
"WBGene00006634",4
"WBGene00006635",5
"WBGene00006636",5
"WBGene00006637",4
"WBGene00006638",4
"WBGene00006639",4
"WBGene00006640",5
"WBGene00006641",4
"WBGene00006643",3
"WBGene00006646",4
"WBGene00006648",2
"WBGene00006649",4
"WBGene00006650",2
"WBGene00006651",4
"WBGene00006656",4
"WBGene00006660",2
"WBGene00006662",2
"WBGene00006663",1
"WBGene00006667",4
"WBGene00006671",4
"WBGene00006672",4
"WBGene00006674",1
"WBGene00006675",4
"WBGene00006677",4
"WBGene00006678",1
"WBGene00006680",5
"WBGene00006685",4
"WBGene00006686",4
"WBGene00006690",1
"WBGene00006692",5
"WBGene00006698",6
"WBGene00006699",5
"WBGene00006701",2
"WBGene00006702",4
"WBGene00006703",2
"WBGene00006704",6
"WBGene00006705",2
"WBGene00006707",6
"WBGene00006709",3
"WBGene00006710",2
"WBGene00006713",3
"WBGene00006714",5
"WBGene00006720",4
"WBGene00006721",3
"WBGene00006724",5
"WBGene00006725",6
"WBGene00006726",5
"WBGene00006728",6
"WBGene00006730",6
"WBGene00006738",2
"WBGene00006739",2
"WBGene00006741",4
"WBGene00006745",3
"WBGene00006746",5
"WBGene00006747",4
"WBGene00006749",4
"WBGene00006754",1
"WBGene00006757",1
"WBGene00006759",1
"WBGene00006760",1
"WBGene00006762",4
"WBGene00006764",4
"WBGene00006765",1
"WBGene00006768",5
"WBGene00006769",5
"WBGene00006771",5
"WBGene00006772",1
"WBGene00006781",1
"WBGene00006784",5
"WBGene00006785",6
"WBGene00006786",2
"WBGene00006787",1
"WBGene00006789",1
"WBGene00006791",1
"WBGene00006792",1
"WBGene00006794",6
"WBGene00006798",3
"WBGene00006801",1
"WBGene00006810",5
"WBGene00006817",6
"WBGene00006819",4
"WBGene00006820",1
"WBGene00006823",4
"WBGene00006824",5
"WBGene00006825",1
"WBGene00006826",5
"WBGene00006831",1
"WBGene00006832",1
"WBGene00006833",4
"WBGene00006836",1
"WBGene00006839",1
"WBGene00006845",3
"WBGene00006856",3
"WBGene00006861",4
"WBGene00006863",1
"WBGene00006865",5
"WBGene00006869",6
"WBGene00006875",4
"WBGene00006882",3
"WBGene00006886",3
"WBGene00006887",1
"WBGene00006888",2
"WBGene00006890",4
"WBGene00006893",1
"WBGene00006896",1
"WBGene00006897",1
"WBGene00006910",6
"WBGene00006911",6
"WBGene00006912",1
"WBGene00006913",6
"WBGene00006914",1
"WBGene00006916",1
"WBGene00006917",1
"WBGene00006919",1
"WBGene00006920",1
"WBGene00006921",1
"WBGene00006924",1
"WBGene00006933",1
"WBGene00006934",1
"WBGene00006935",1
"WBGene00006937",6
"WBGene00006940",2
"WBGene00006942",5
"WBGene00006945",6
"WBGene00006946",1
"WBGene00006947",5
"WBGene00006948",5
"WBGene00006949",6
"WBGene00006950",6
"WBGene00006951",3
"WBGene00006952",6
"WBGene00006953",4
"WBGene00006954",6
"WBGene00006955",5
"WBGene00006956",3
"WBGene00006961",1
"WBGene00006965",3
"WBGene00006970",3
"WBGene00006977",3
"WBGene00006978",4
"WBGene00006979",2
"WBGene00006980",3
"WBGene00006981",1
"WBGene00006982",2
"WBGene00006983",6
"WBGene00006984",2
"WBGene00006987",3
"WBGene00006996",2
"WBGene00006999",4
"WBGene00007000",1
"WBGene00007001",1
"WBGene00007007",2
"WBGene00007008",1
"WBGene00007015",6
"WBGene00007017",2
"WBGene00007019",6
"WBGene00007021",6
"WBGene00007023",2
"WBGene00007024",3
"WBGene00007036",2
"WBGene00007044",1
"WBGene00007045",5
"WBGene00007049",2
"WBGene00007050",1
"WBGene00007055",2
"WBGene00007058",2
"WBGene00007059",5
"WBGene00007063",4
"WBGene00007067",4
"WBGene00007068",6
"WBGene00007070",4
"WBGene00007071",1
"WBGene00007072",4
"WBGene00007082",6
"WBGene00007087",1
"WBGene00007091",2
"WBGene00007096",4
"WBGene00007097",4
"WBGene00007099",2
"WBGene00007101",1
"WBGene00007103",2
"WBGene00007105",6
"WBGene00007106",6
"WBGene00007107",5
"WBGene00007108",1
"WBGene00007109",2
"WBGene00007112",3
"WBGene00007113",1
"WBGene00007117",3
"WBGene00007122",5
"WBGene00007126",4
"WBGene00007128",5
"WBGene00007129",5
"WBGene00007130",4
"WBGene00007131",4
"WBGene00007132",2
"WBGene00007133",3
"WBGene00007134",2
"WBGene00007139",1
"WBGene00007141",3
"WBGene00007142",4
"WBGene00007143",3
"WBGene00007146",5
"WBGene00007150",3
"WBGene00007152",5
"WBGene00007153",5
"WBGene00007155",4
"WBGene00007169",6
"WBGene00007170",3
"WBGene00007171",2
"WBGene00007174",5
"WBGene00007175",5
"WBGene00007177",6
"WBGene00007178",1
"WBGene00007180",4
"WBGene00007184",1
"WBGene00007185",5
"WBGene00007190",6
"WBGene00007194",6
"WBGene00007197",1
"WBGene00007200",2
"WBGene00007202",2
"WBGene00007207",1
"WBGene00007210",6
"WBGene00007214",3
"WBGene00007215",1
"WBGene00007219",2
"WBGene00007220",1
"WBGene00007226",2
"WBGene00007228",5
"WBGene00007229",5
"WBGene00007233",1
"WBGene00007234",3
"WBGene00007236",5
"WBGene00007242",4
"WBGene00007248",6
"WBGene00007250",1
"WBGene00007252",5
"WBGene00007254",5
"WBGene00007257",3
"WBGene00007258",1
"WBGene00007260",4
"WBGene00007261",3
"WBGene00007262",4
"WBGene00007264",5
"WBGene00007268",6
"WBGene00007275",3
"WBGene00007277",2
"WBGene00007288",4
"WBGene00007296",4
"WBGene00007297",2
"WBGene00007301",6
"WBGene00007302",4
"WBGene00007303",4
"WBGene00007307",6
"WBGene00007308",6
"WBGene00007312",6
"WBGene00007316",2
"WBGene00007317",5
"WBGene00007321",4
"WBGene00007323",6
"WBGene00007325",5
"WBGene00007329",1
"WBGene00007330",1
"WBGene00007331",6
"WBGene00007334",2
"WBGene00007336",4
"WBGene00007339",5
"WBGene00007341",1
"WBGene00007343",4
"WBGene00007344",4
"WBGene00007345",2
"WBGene00007350",3
"WBGene00007352",5
"WBGene00007353",4
"WBGene00007354",2
"WBGene00007355",6
"WBGene00007357",4
"WBGene00007358",4
"WBGene00007362",4
"WBGene00007363",4
"WBGene00007365",2
"WBGene00007367",1
"WBGene00007368",1
"WBGene00007375",5
"WBGene00007384",4
"WBGene00007385",6
"WBGene00007387",1
"WBGene00007388",5
"WBGene00007391",2
"WBGene00007392",3
"WBGene00007394",5
"WBGene00007395",4
"WBGene00007396",4
"WBGene00007397",4
"WBGene00007404",2
"WBGene00007405",3
"WBGene00007408",2
"WBGene00007413",1
"WBGene00007414",4
"WBGene00007419",6
"WBGene00007420",5
"WBGene00007421",4
"WBGene00007422",4
"WBGene00007424",4
"WBGene00007425",5
"WBGene00007430",4
"WBGene00007431",1
"WBGene00007435",1
"WBGene00007440",3
"WBGene00007443",1
"WBGene00007445",2
"WBGene00007449",6
"WBGene00007450",3
"WBGene00007452",6
"WBGene00007455",1
"WBGene00007460",2
"WBGene00007462",4
"WBGene00007463",5
"WBGene00007466",2
"WBGene00007473",4
"WBGene00007474",4
"WBGene00007476",2
"WBGene00007479",5
"WBGene00007482",1
"WBGene00007488",2
"WBGene00007492",4
"WBGene00007494",5
"WBGene00007495",4
"WBGene00007499",2
"WBGene00007506",4
"WBGene00007507",3
"WBGene00007511",2
"WBGene00007513",4
"WBGene00007514",1
"WBGene00007515",6
"WBGene00007516",4
"WBGene00007517",2
"WBGene00007518",4
"WBGene00007520",5
"WBGene00007525",4
"WBGene00007528",5
"WBGene00007529",5
"WBGene00007530",5
"WBGene00007533",3
"WBGene00007534",2
"WBGene00007535",4
"WBGene00007536",1
"WBGene00007537",1
"WBGene00007541",1
"WBGene00007543",1
"WBGene00007544",1
"WBGene00007545",4
"WBGene00007547",2
"WBGene00007549",1
"WBGene00007550",4
"WBGene00007551",2
"WBGene00007552",5
"WBGene00007553",4
"WBGene00007555",2
"WBGene00007556",5
"WBGene00007559",5
"WBGene00007560",5
"WBGene00007562",4
"WBGene00007564",1
"WBGene00007565",5
"WBGene00007574",1
"WBGene00007576",2
"WBGene00007586",2
"WBGene00007587",1
"WBGene00007590",2
"WBGene00007591",3
"WBGene00007592",5
"WBGene00007593",3
"WBGene00007598",5
"WBGene00007599",2
"WBGene00007600",6
"WBGene00007604",2
"WBGene00007605",3
"WBGene00007606",4
"WBGene00007608",4
"WBGene00007609",4
"WBGene00007616",6
"WBGene00007617",2
"WBGene00007621",4
"WBGene00007623",2
"WBGene00007625",6
"WBGene00007626",5
"WBGene00007627",2
"WBGene00007628",2
"WBGene00007630",6
"WBGene00007640",2
"WBGene00007644",2
"WBGene00007646",1
"WBGene00007650",4
"WBGene00007652",2
"WBGene00007653",5
"WBGene00007655",2
"WBGene00007656",2
"WBGene00007658",2
"WBGene00007659",2
"WBGene00007660",4
"WBGene00007664",4
"WBGene00007666",4
"WBGene00007668",5
"WBGene00007677",2
"WBGene00007679",4
"WBGene00007681",1
"WBGene00007682",2
"WBGene00007683",5
"WBGene00007684",5
"WBGene00007685",1
"WBGene00007686",6
"WBGene00007691",4
"WBGene00007692",5
"WBGene00007693",3
"WBGene00007695",6
"WBGene00007696",3
"WBGene00007702",6
"WBGene00007705",2
"WBGene00007706",6
"WBGene00007707",5
"WBGene00007709",3
"WBGene00007712",1
"WBGene00007724",1
"WBGene00007725",2
"WBGene00007726",4
"WBGene00007728",6
"WBGene00007730",2
"WBGene00007732",6
"WBGene00007736",4
"WBGene00007739",3
"WBGene00007743",5
"WBGene00007748",1
"WBGene00007749",1
"WBGene00007750",5
"WBGene00007753",1
"WBGene00007754",5
"WBGene00007755",5
"WBGene00007760",2
"WBGene00007764",1
"WBGene00007765",4
"WBGene00007766",2
"WBGene00007774",3
"WBGene00007775",1
"WBGene00007777",3
"WBGene00007779",3
"WBGene00007780",2
"WBGene00007782",1
"WBGene00007786",4
"WBGene00007796",4
"WBGene00007797",6
"WBGene00007800",4
"WBGene00007801",1
"WBGene00007804",1
"WBGene00007806",6
"WBGene00007807",1
"WBGene00007808",1
"WBGene00007810",1
"WBGene00007811",2
"WBGene00007812",5
"WBGene00007817",1
"WBGene00007818",2
"WBGene00007820",3
"WBGene00007823",6
"WBGene00007824",2
"WBGene00007827",2
"WBGene00007833",6
"WBGene00007836",6
"WBGene00007841",4
"WBGene00007848",3
"WBGene00007851",5
"WBGene00007855",4
"WBGene00007857",4
"WBGene00007859",1
"WBGene00007862",4
"WBGene00007867",5
"WBGene00007868",5
"WBGene00007869",6
"WBGene00007875",1
"WBGene00007877",2
"WBGene00007878",4
"WBGene00007880",6
"WBGene00007881",2
"WBGene00007883",2
"WBGene00007885",5
"WBGene00007886",4
"WBGene00007890",2
"WBGene00007891",5
"WBGene00007893",4
"WBGene00007894",1
"WBGene00007898",1
"WBGene00007903",4
"WBGene00007904",6
"WBGene00007906",1
"WBGene00007907",1
"WBGene00007912",1
"WBGene00007916",5
"WBGene00007919",2
"WBGene00007923",4
"WBGene00007924",3
"WBGene00007925",3
"WBGene00007926",4
"WBGene00007927",1
"WBGene00007929",4
"WBGene00007930",4
"WBGene00007931",4
"WBGene00007932",2
"WBGene00007933",4
"WBGene00007934",6
"WBGene00007938",5
"WBGene00007942",5
"WBGene00007943",1
"WBGene00007944",5
"WBGene00007945",2
"WBGene00007946",4
"WBGene00007947",5
"WBGene00007949",5
"WBGene00007950",2
"WBGene00007952",1
"WBGene00007955",5
"WBGene00007957",4
"WBGene00007958",2
"WBGene00007959",3
"WBGene00007963",3
"WBGene00007964",3
"WBGene00007965",2
"WBGene00007966",2
"WBGene00007969",3
"WBGene00007973",2
"WBGene00007976",1
"WBGene00007980",2
"WBGene00007981",2
"WBGene00007983",1
"WBGene00007988",6
"WBGene00007989",2
"WBGene00007990",2
"WBGene00007992",2
"WBGene00007993",4
"WBGene00007994",3
"WBGene00007996",5
"WBGene00007999",5
"WBGene00008000",6
"WBGene00008002",4
"WBGene00008003",6
"WBGene00008007",6
"WBGene00008018",4
"WBGene00008019",3
"WBGene00008020",4
"WBGene00008027",2
"WBGene00008028",4
"WBGene00008031",2
"WBGene00008032",1
"WBGene00008033",3
"WBGene00008035",6
"WBGene00008040",4
"WBGene00008041",5
"WBGene00008042",1
"WBGene00008043",3
"WBGene00008044",4
"WBGene00008052",2
"WBGene00008053",5
"WBGene00008054",4
"WBGene00008061",2
"WBGene00008072",3
"WBGene00008073",4
"WBGene00008076",1
"WBGene00008079",6
"WBGene00008084",2
"WBGene00008089",4
"WBGene00008091",4
"WBGene00008093",5
"WBGene00008097",5
"WBGene00008100",2
"WBGene00008101",4
"WBGene00008107",1
"WBGene00008110",1
"WBGene00008117",5
"WBGene00008121",4
"WBGene00008123",5
"WBGene00008127",6
"WBGene00008130",2
"WBGene00008131",2
"WBGene00008132",5
"WBGene00008133",2
"WBGene00008134",6
"WBGene00008136",3
"WBGene00008139",2
"WBGene00008142",2
"WBGene00008149",5
"WBGene00008150",6
"WBGene00008151",2
"WBGene00008161",5
"WBGene00008164",6
"WBGene00008165",3
"WBGene00008167",1
"WBGene00008169",2
"WBGene00008170",2
"WBGene00008172",2
"WBGene00008173",2
"WBGene00008174",2
"WBGene00008176",4
"WBGene00008177",2
"WBGene00008178",4
"WBGene00008180",5
"WBGene00008186",6
"WBGene00008191",4
"WBGene00008194",1
"WBGene00008198",2
"WBGene00008199",1
"WBGene00008204",2
"WBGene00008205",6
"WBGene00008211",2
"WBGene00008214",4
"WBGene00008215",6
"WBGene00008218",2
"WBGene00008220",5
"WBGene00008221",5
"WBGene00008222",3
"WBGene00008224",4
"WBGene00008225",2
"WBGene00008226",2
"WBGene00008228",4
"WBGene00008229",4
"WBGene00008233",4
"WBGene00008237",5
"WBGene00008244",1
"WBGene00008245",1
"WBGene00008246",1
"WBGene00008252",4
"WBGene00008254",1
"WBGene00008255",2
"WBGene00008258",1
"WBGene00008260",5
"WBGene00008262",6
"WBGene00008267",2
"WBGene00008270",1
"WBGene00008273",1
"WBGene00008277",6
"WBGene00008281",6
"WBGene00008284",4
"WBGene00008289",5
"WBGene00008290",6
"WBGene00008292",3
"WBGene00008293",5
"WBGene00008296",4
"WBGene00008298",2
"WBGene00008301",4
"WBGene00008302",4
"WBGene00008303",4
"WBGene00008304",4
"WBGene00008307",4
"WBGene00008309",2
"WBGene00008311",4
"WBGene00008331",1
"WBGene00008332",2
"WBGene00008333",5
"WBGene00008334",4
"WBGene00008335",4
"WBGene00008336",3
"WBGene00008341",3
"WBGene00008342",3
