"GO","In.ref","In.input","Expect","Over.under","FE","Bonferroni.pvalue","Cluster"
"cellular macromolecule metabolic process (GO:0044260)",2953,363,269.43,"+",1.35,4.56e-06,"Cluster 2"
"single-organism developmental process (GO:0044767)",4809,587,438.76,"+",1.34,6.9e-12,"Cluster 2"
"developmental process (GO:0032502)",4849,590,442.41,"+",1.33,1.04e-11,"Cluster 2"
"cellular metabolic process (GO:0044237)",3934,472,358.93,"+",1.32,1.9e-07,"Cluster 2"
"nitrogen compound metabolic process (GO:0006807)",3768,447,343.78,"+",1.3,3.39e-06,"Cluster 2"
"macromolecule metabolic process (GO:0043170)",3433,407,313.22,"+",1.3,2.68e-05,"Cluster 2"
"metabolic process (GO:0008152)",4926,568,449.44,"+",1.26,5.34e-07,"Cluster 2"
"organic substance metabolic process (GO:0071704)",4359,491,397.71,"+",1.23,0.00035,"Cluster 2"
"primary metabolic process (GO:0044238)",4212,471,384.29,"+",1.23,0.00165,"Cluster 2"
"single-organism process (GO:0044699)",8039,859,733.46,"+",1.17,4.67e-06,"Cluster 2"
"cellular process (GO:0009987)",7048,747,643.05,"+",1.16,0.000699,"Cluster 2"
"biological_process (GO:0008150)",11145,1119,1016.85,"+",1.1,0.00235,"Cluster 2"
"fatty acid biosynthetic process (GO:0006633)",40,13,2.04,"+",6.37,0.000552,"Cluster 3"
"monocarboxylic acid biosynthetic process (GO:0072330)",47,13,2.4,"+",5.42,0.00325,"Cluster 3"
"small molecule catabolic process (GO:0044282)",110,22,5.61,"+",3.92,0.000256,"Cluster 3"
"fatty acid metabolic process (GO:0006631)",105,21,5.35,"+",3.92,0.000493,"Cluster 3"
"organic acid biosynthetic process (GO:0016053)",102,18,5.2,"+",3.46,0.0191,"Cluster 3"
"carboxylic acid biosynthetic process (GO:0046394)",102,18,5.2,"+",3.46,0.0191,"Cluster 3"
"cellular carbohydrate metabolic process (GO:0044262)",107,18,5.46,"+",3.3,0.0358,"Cluster 3"
"coenzyme metabolic process (GO:0006732)",123,20,6.27,"+",3.19,0.0202,"Cluster 3"
"single-organism catabolic process (GO:0044712)",285,46,14.53,"+",3.16,5.27e-08,"Cluster 3"
"monocarboxylic acid metabolic process (GO:0032787)",220,35,11.22,"+",3.12,1.81e-05,"Cluster 3"
"proteolysis involved in cellular protein catabolic process (GO:0051603)",254,40,12.95,"+",3.09,2.1e-06,"Cluster 3"
"cellular protein catabolic process (GO:0044257)",256,40,13.06,"+",3.06,2.61e-06,"Cluster 3"
"small molecule biosynthetic process (GO:0044283)",136,21,6.94,"+",3.03,0.0261,"Cluster 3"
"ubiquitin-dependent protein catabolic process (GO:0006511)",178,25,9.08,"+",2.75,0.0199,"Cluster 3"
"modification-dependent protein catabolic process (GO:0019941)",179,25,9.13,"+",2.74,0.0219,"Cluster 3"
"lipid metabolic process (GO:0006629)",405,56,20.65,"+",2.71,1.26e-07,"Cluster 3"
"carbohydrate metabolic process (GO:0005975)",350,48,17.85,"+",2.69,3.87e-06,"Cluster 3"
"modification-dependent macromolecule catabolic process (GO:0043632)",184,25,9.38,"+",2.66,0.0344,"Cluster 3"
"organonitrogen compound catabolic process (GO:1901565)",541,71,27.59,"+",2.57,3.45e-09,"Cluster 3"
"carboxylic acid metabolic process (GO:0019752)",404,53,20.6,"+",2.57,2.49e-06,"Cluster 3"
"innate immune response (GO:0045087)",307,40,15.66,"+",2.55,0.000324,"Cluster 3"
"cellular catabolic process (GO:0044248)",595,77,30.34,"+",2.54,7.49e-10,"Cluster 3"
"immune response (GO:0006955)",311,40,15.86,"+",2.52,0.000449,"Cluster 3"
"defense response (GO:0006952)",415,53,21.16,"+",2.5,6.1e-06,"Cluster 3"
"single-organism carbohydrate metabolic process (GO:0044723)",221,28,11.27,"+",2.48,0.038,"Cluster 3"
"immune system process (GO:0002376)",318,40,16.22,"+",2.47,0.000783,"Cluster 3"
"organic substance catabolic process (GO:1901575)",783,97,39.93,"+",2.43,7.35e-12,"Cluster 3"
"organic acid metabolic process (GO:0006082)",427,53,21.78,"+",2.43,1.56e-05,"Cluster 3"
"oxoacid metabolic process (GO:0043436)",427,53,21.78,"+",2.43,1.56e-05,"Cluster 3"
"cellular lipid metabolic process (GO:0044255)",284,35,14.48,"+",2.42,0.00646,"Cluster 3"
"protein catabolic process (GO:0030163)",399,49,20.35,"+",2.41,7.93e-05,"Cluster 3"
"catabolic process (GO:0009056)",835,100,42.58,"+",2.35,2.11e-11,"Cluster 3"
"cellular macromolecule catabolic process (GO:0044265)",343,41,17.49,"+",2.34,0.002,"Cluster 3"
"proteolysis (GO:0006508)",600,69,30.6,"+",2.26,1.87e-06,"Cluster 3"
"oxidation-reduction process (GO:0055114)",606,66,30.9,"+",2.14,3.43e-05,"Cluster 3"
"single-organism metabolic process (GO:0044710)",1667,175,85.01,"+",2.06,2.71e-16,"Cluster 3"
"small molecule metabolic process (GO:0044281)",721,74,36.77,"+",2.01,4.97e-05,"Cluster 3"
"macromolecule catabolic process (GO:0009057)",536,55,27.33,"+",2.01,0.00329,"Cluster 3"
"determination of adult lifespan (GO:0008340)",894,77,45.59,"+",1.69,0.019,"Cluster 3"
"multicellular organism aging (GO:0010259)",894,77,45.59,"+",1.69,0.019,"Cluster 3"
"aging (GO:0007568)",896,77,45.69,"+",1.69,0.0205,"Cluster 3"
"metabolic process (GO:0008152)",4926,311,251.21,"+",1.24,0.0306,"Cluster 3"
"negative regulation of endopeptidase activity (GO:0010951)",61,18,4.44,"+",4.06,0.00228,"Cluster 4"
"flavonoid glucuronidation (GO:0052696)",70,20,5.09,"+",3.93,0.00096,"Cluster 4"
"cellular glucuronidation (GO:0052695)",70,20,5.09,"+",3.93,0.00096,"Cluster 4"
"uronic acid metabolic process (GO:0006063)",70,20,5.09,"+",3.93,0.00096,"Cluster 4"
"flavonoid biosynthetic process (GO:0009813)",70,20,5.09,"+",3.93,0.00096,"Cluster 4"
"flavonoid metabolic process (GO:0009812)",70,20,5.09,"+",3.93,0.00096,"Cluster 4"
"glucuronate metabolic process (GO:0019585)",70,20,5.09,"+",3.93,0.00096,"Cluster 4"
"negative regulation of peptidase activity (GO:0010466)",68,18,4.95,"+",3.64,0.01,"Cluster 4"
"negative regulation of proteolysis (GO:0045861)",68,18,4.95,"+",3.64,0.01,"Cluster 4"
"regulation of endopeptidase activity (GO:0052548)",73,18,5.31,"+",3.39,0.0257,"Cluster 4"
"negative regulation of hydrolase activity (GO:0051346)",78,19,5.67,"+",3.35,0.0176,"Cluster 4"
"monosaccharide metabolic process (GO:0005996)",106,23,7.71,"+",2.98,0.0134,"Cluster 4"
"organic anion transport (GO:0015711)",116,25,8.44,"+",2.96,0.00607,"Cluster 4"
"negative regulation of catalytic activity (GO:0043086)",113,23,8.22,"+",2.8,0.0364,"Cluster 4"
"negative regulation of molecular function (GO:0044092)",122,24,8.88,"+",2.7,0.0413,"Cluster 4"
"anion transport (GO:0006820)",258,49,18.77,"+",2.61,7.68e-06,"Cluster 4"
"metal ion transport (GO:0030001)",259,45,18.84,"+",2.39,0.000397,"Cluster 4"
"ion transport (GO:0006811)",735,113,53.48,"+",2.11,6.19e-10,"Cluster 4"
"transmembrane transport (GO:0055085)",855,129,62.21,"+",2.07,4.33e-11,"Cluster 4"
"inorganic ion transmembrane transport (GO:0098660)",367,55,26.7,"+",2.06,0.00186,"Cluster 4"
"ion transmembrane transport (GO:0034220)",542,81,39.43,"+",2.05,5.61e-06,"Cluster 4"
"cation transport (GO:0006812)",393,58,28.59,"+",2.03,0.00152,"Cluster 4"
"cation transmembrane transport (GO:0098655)",332,47,24.15,"+",1.95,0.0467,"Cluster 4"
"Unclassified (UNCLASSIFIED)",9307,681,677.14,"+",1.01,0,"Cluster 4"
"glycine metabolic process (GO:0006544)",7,6,0.45,"+",13.29,0.0179,"Cluster 5"
"retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)",16,9,1.03,"+",8.72,0.0032,"Cluster 5"
"Golgi organization (GO:0007030)",16,9,1.03,"+",8.72,0.0032,"Cluster 5"
"molting cycle process (GO:0022404)",30,15,1.93,"+",7.75,5.31e-06,"Cluster 5"
"intra-Golgi vesicle-mediated transport (GO:0006891)",27,11,1.74,"+",6.32,0.00501,"Cluster 5"
"serine family amino acid metabolic process (GO:0009069)",26,10,1.68,"+",5.96,0.0235,"Cluster 5"
"alpha-amino acid biosynthetic process (GO:1901607)",49,18,3.16,"+",5.7,1.63e-05,"Cluster 5"
"cellular amino acid biosynthetic process (GO:0008652)",54,19,3.48,"+",5.46,1.25e-05,"Cluster 5"
"ER to Golgi vesicle-mediated transport (GO:0006888)",43,14,2.77,"+",5.05,0.00301,"Cluster 5"
"sulfur compound biosynthetic process (GO:0044272)",57,18,3.68,"+",4.9,0.000154,"Cluster 5"
"nucleoside diphosphate metabolic process (GO:0009132)",38,12,2.45,"+",4.9,0.0227,"Cluster 5"
"Golgi vesicle transport (GO:0048193)",86,27,5.55,"+",4.87,1.04e-07,"Cluster 5"
"fatty acid catabolic process (GO:0009062)",53,16,3.42,"+",4.68,0.00145,"Cluster 5"
"fatty acid beta-oxidation (GO:0006635)",40,12,2.58,"+",4.65,0.0373,"Cluster 5"
"organic acid catabolic process (GO:0016054)",91,26,5.87,"+",4.43,1.67e-06,"Cluster 5"
"carboxylic acid catabolic process (GO:0046395)",91,26,5.87,"+",4.43,1.67e-06,"Cluster 5"
"monocarboxylic acid catabolic process (GO:0072329)",56,16,3.61,"+",4.43,0.00292,"Cluster 5"
"small molecule catabolic process (GO:0044282)",110,31,7.09,"+",4.37,5.63e-08,"Cluster 5"
"alpha-amino acid metabolic process (GO:1901605)",103,28,6.64,"+",4.22,1.12e-06,"Cluster 5"
"negative regulation of endopeptidase activity (GO:0010951)",61,15,3.93,"+",3.81,0.0356,"Cluster 5"
"organic acid biosynthetic process (GO:0016053)",102,25,6.58,"+",3.8,6.75e-05,"Cluster 5"
"carboxylic acid biosynthetic process (GO:0046394)",102,25,6.58,"+",3.8,6.75e-05,"Cluster 5"
"small molecule biosynthetic process (GO:0044283)",136,33,8.77,"+",3.76,5.74e-07,"Cluster 5"
"sulfur compound metabolic process (GO:0006790)",125,30,8.06,"+",3.72,4.7e-06,"Cluster 5"
"cellular lipid catabolic process (GO:0044242)",75,18,4.84,"+",3.72,0.00735,"Cluster 5"
"fatty acid metabolic process (GO:0006631)",105,25,6.77,"+",3.69,0.000116,"Cluster 5"
"negative regulation of peptidase activity (GO:0010466)",68,16,4.39,"+",3.65,0.0321,"Cluster 5"
"negative regulation of proteolysis (GO:0045861)",68,16,4.39,"+",3.65,0.0321,"Cluster 5"
"lipid catabolic process (GO:0016042)",105,23,6.77,"+",3.4,0.0016,"Cluster 5"
"negative regulation of hydrolase activity (GO:0051346)",78,17,5.03,"+",3.38,0.0459,"Cluster 5"
"molting cycle (GO:0042303)",337,73,21.73,"+",3.36,3.84e-15,"Cluster 5"
"regulation of cell migration (GO:0030334)",88,19,5.68,"+",3.35,0.0175,"Cluster 5"
"cellular amino acid metabolic process (GO:0006520)",161,34,10.38,"+",3.27,9.75e-06,"Cluster 5"
"molting cycle, collagen and cuticulin-based cuticle (GO:0018996)",320,67,20.64,"+",3.25,5.1e-13,"Cluster 5"
"regulation of cell motility (GO:2000145)",91,19,5.87,"+",3.24,0.0277,"Cluster 5"
"organic acid metabolic process (GO:0006082)",427,89,27.54,"+",3.23,7.06e-18,"Cluster 5"
"oxoacid metabolic process (GO:0043436)",427,89,27.54,"+",3.23,7.06e-18,"Cluster 5"
"carboxylic acid metabolic process (GO:0019752)",404,84,26.05,"+",3.22,1.1e-16,"Cluster 5"
"protein glycosylation (GO:0006486)",101,21,6.51,"+",3.22,0.0105,"Cluster 5"
"single-organism catabolic process (GO:0044712)",285,59,18.38,"+",3.21,5.11e-11,"Cluster 5"
"glycosylation (GO:0070085)",126,26,8.13,"+",3.2,0.000948,"Cluster 5"
"glycoprotein biosynthetic process (GO:0009101)",122,25,7.87,"+",3.18,0.00177,"Cluster 5"
"macromolecule glycosylation (GO:0043413)",123,25,7.93,"+",3.15,0.00205,"Cluster 5"
"cuticle development (GO:0042335)",134,27,8.64,"+",3.12,0.000901,"Cluster 5"
"regulation of cellular component movement (GO:0051270)",101,20,6.51,"+",3.07,0.035,"Cluster 5"
"glycoprotein metabolic process (GO:0009100)",152,30,9.8,"+",3.06,0.000323,"Cluster 5"
"monocarboxylic acid metabolic process (GO:0032787)",220,42,14.19,"+",2.96,2.95e-06,"Cluster 5"
"small molecule metabolic process (GO:0044281)",721,130,46.5,"+",2.8,1.25e-21,"Cluster 5"
"oxidation-reduction process (GO:0055114)",606,109,39.08,"+",2.79,1.25e-17,"Cluster 5"
"carbohydrate metabolic process (GO:0005975)",350,60,22.57,"+",2.66,6.44e-08,"Cluster 5"
"carbohydrate derivative biosynthetic process (GO:1901137)",280,47,18.06,"+",2.6,1.68e-05,"Cluster 5"
"carbohydrate derivative metabolic process (GO:1901135)",486,79,31.34,"+",2.52,6.52e-10,"Cluster 5"
"single-organism metabolic process (GO:0044710)",1667,260,107.51,"+",2.42,1.38e-36,"Cluster 5"
"single-organism biosynthetic process (GO:0044711)",493,73,31.79,"+",2.3,3.31e-07,"Cluster 5"
"cellular lipid metabolic process (GO:0044255)",284,42,18.32,"+",2.29,0.00271,"Cluster 5"
"innate immune response (GO:0045087)",307,45,19.8,"+",2.27,0.00145,"Cluster 5"
"lipid metabolic process (GO:0006629)",405,59,26.12,"+",2.26,3.4e-05,"Cluster 5"
"organic substance catabolic process (GO:1901575)",783,113,50.5,"+",2.24,1.31e-11,"Cluster 5"
"organonitrogen compound catabolic process (GO:1901565)",541,78,34.89,"+",2.24,2.58e-07,"Cluster 5"
"immune system process (GO:0002376)",318,46,20.51,"+",2.24,0.00155,"Cluster 5"
"immune response (GO:0006955)",311,45,20.06,"+",2.24,0.00203,"Cluster 5"
"catabolic process (GO:0009056)",835,119,53.85,"+",2.21,5.62e-12,"Cluster 5"
"amide transport (GO:0042886)",348,48,22.44,"+",2.14,0.00328,"Cluster 5"
"peptide transport (GO:0015833)",342,47,22.06,"+",2.13,0.00463,"Cluster 5"
"protein transport (GO:0015031)",337,46,21.73,"+",2.12,0.00704,"Cluster 5"
"establishment of protein localization (GO:0045184)",354,48,22.83,"+",2.1,0.00517,"Cluster 5"
"nitrogen compound transport (GO:0071705)",450,60,29.02,"+",2.07,0.000508,"Cluster 5"
"cellular catabolic process (GO:0044248)",595,78,38.37,"+",2.03,1.6e-05,"Cluster 5"
"defense response (GO:0006952)",415,54,26.76,"+",2.02,0.0041,"Cluster 5"
"organic substance transport (GO:0071702)",578,74,37.28,"+",1.99,9.87e-05,"Cluster 5"
"protein localization (GO:0008104)",521,63,33.6,"+",1.87,0.0062,"Cluster 5"
"body morphogenesis (GO:0010171)",631,75,40.69,"+",1.84,0.00133,"Cluster 5"
"proteolysis (GO:0006508)",600,71,38.7,"+",1.83,0.0031,"Cluster 5"
"anatomical structure morphogenesis (GO:0009653)",1123,130,72.43,"+",1.79,4.28e-07,"Cluster 5"
"locomotion (GO:0040011)",1666,191,107.44,"+",1.78,2.81e-11,"Cluster 5"
"organonitrogen compound biosynthetic process (GO:1901566)",674,76,43.47,"+",1.75,0.00743,"Cluster 5"
"vesicle-mediated transport (GO:0016192)",1022,107,65.91,"+",1.62,0.00234,"Cluster 5"
"determination of adult lifespan (GO:0008340)",894,92,57.66,"+",1.6,0.0262,"Cluster 5"
"multicellular organism aging (GO:0010259)",894,92,57.66,"+",1.6,0.0262,"Cluster 5"
"aging (GO:0007568)",896,92,57.79,"+",1.59,0.0285,"Cluster 5"
"macromolecule localization (GO:0033036)",1171,119,75.52,"+",1.58,0.00241,"Cluster 5"
"response to stress (GO:0006950)",1032,104,66.56,"+",1.56,0.0167,"Cluster 5"
"post-embryonic development (GO:0009791)",2095,208,135.11,"+",1.54,8.29e-07,"Cluster 5"
"larval development (GO:0002164)",2075,206,133.82,"+",1.54,1.03e-06,"Cluster 5"
"establishment of localization (GO:0051234)",2394,236,154.39,"+",1.53,7.74e-08,"Cluster 5"
"nematode larval development (GO:0002119)",2071,204,133.56,"+",1.53,2.4e-06,"Cluster 5"
"transport (GO:0006810)",2305,226,148.66,"+",1.52,3.65e-07,"Cluster 5"
"single-organism cellular process (GO:0044763)",3764,364,242.75,"+",1.5,4.55e-13,"Cluster 5"
"localization (GO:0051179)",3112,302,200.7,"+",1.5,3.26e-10,"Cluster 5"
"organonitrogen compound metabolic process (GO:1901564)",2527,236,162.97,"+",1.45,9.91e-06,"Cluster 5"
"metabolic process (GO:0008152)",4926,448,317.69,"+",1.41,9.87e-13,"Cluster 5"
"anatomical structure development (GO:0048856)",4756,413,306.73,"+",1.35,3e-08,"Cluster 5"
"single-organism developmental process (GO:0044767)",4809,415,310.14,"+",1.34,6.23e-08,"Cluster 5"
"single-multicellular organism process (GO:0044707)",4651,403,299.95,"+",1.34,8.45e-08,"Cluster 5"
"multicellular organism development (GO:0007275)",4542,393,292.92,"+",1.34,2.09e-07,"Cluster 5"
"developmental process (GO:0032502)",4849,416,312.72,"+",1.33,1.31e-07,"Cluster 5"
"organic substance metabolic process (GO:0071704)",4359,369,281.12,"+",1.31,1.45e-05,"Cluster 5"
"single-organism process (GO:0044699)",8039,665,518.45,"+",1.28,4.6e-13,"Cluster 5"
"primary metabolic process (GO:0044238)",4212,342,271.64,"+",1.26,0.00416,"Cluster 5"
"biological_process (GO:0008150)",11145,899,718.77,"+",1.25,7.1e-21,"Cluster 5"
"mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)",9,8,0.52,"+",15.41,0.000183,"Cluster 6"
"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",8,6,0.46,"+",13,0.0202,"Cluster 6"
"cytoplasmic translation (GO:0002181)",27,18,1.56,"+",11.55,2.11e-10,"Cluster 6"
"mitochondrial ATP synthesis coupled electron transport (GO:0042775)",29,18,1.67,"+",10.76,6.87e-10,"Cluster 6"
"ATP synthesis coupled electron transport (GO:0042773)",29,18,1.67,"+",10.76,6.87e-10,"Cluster 6"
"oxidative phosphorylation (GO:0006119)",30,18,1.73,"+",10.4,1.2e-09,"Cluster 6"
"respiratory electron transport chain (GO:0022904)",34,20,1.96,"+",10.2,8.97e-11,"Cluster 6"
"protein import into mitochondrial matrix (GO:0030150)",14,8,0.81,"+",9.9,0.00487,"Cluster 6"
"ATP synthesis coupled proton transport (GO:0015986)",23,13,1.33,"+",9.8,3.98e-06,"Cluster 6"
"energy coupled proton transport, down electrochemical gradient (GO:0015985)",23,13,1.33,"+",9.8,3.98e-06,"Cluster 6"
"ATP biosynthetic process (GO:0006754)",26,14,1.5,"+",9.33,1.76e-06,"Cluster 6"
"cotranslational protein targeting to membrane (GO:0006613)",15,8,0.87,"+",9.24,0.00803,"Cluster 6"
"mitochondrial transmembrane transport (GO:1990542)",27,14,1.56,"+",8.99,2.83e-06,"Cluster 6"
"purine ribonucleoside triphosphate biosynthetic process (GO:0009206)",29,15,1.67,"+",8.96,7.59e-07,"Cluster 6"
"purine nucleoside triphosphate biosynthetic process (GO:0009145)",29,15,1.67,"+",8.96,7.59e-07,"Cluster 6"
"electron transport chain (GO:0022900)",40,20,2.31,"+",8.67,1.68e-09,"Cluster 6"
"protein targeting to mitochondrion (GO:0006626)",26,13,1.5,"+",8.67,1.67e-05,"Cluster 6"
"protein localization to mitochondrion (GO:0070585)",27,13,1.56,"+",8.35,2.59e-05,"Cluster 6"
"establishment of protein localization to mitochondrion (GO:0072655)",27,13,1.56,"+",8.35,2.59e-05,"Cluster 6"
"intracellular protein transmembrane transport (GO:0065002)",32,15,1.85,"+",8.12,2.83e-06,"Cluster 6"
"ribonucleoside triphosphate biosynthetic process (GO:0009201)",32,15,1.85,"+",8.12,2.83e-06,"Cluster 6"
"nucleoside triphosphate biosynthetic process (GO:0009142)",35,16,2.02,"+",7.92,1.15e-06,"Cluster 6"
"protein transmembrane transport (GO:0071806)",33,15,1.9,"+",7.88,4.26e-06,"Cluster 6"
"protein transmembrane import into intracellular organelle (GO:0044743)",26,11,1.5,"+",7.33,0.0012,"Cluster 6"
"mitochondrial transport (GO:0006839)",38,16,2.19,"+",7.3,3.64e-06,"Cluster 6"
"purine ribonucleoside monophosphate biosynthetic process (GO:0009168)",38,16,2.19,"+",7.3,3.64e-06,"Cluster 6"
"purine nucleoside monophosphate biosynthetic process (GO:0009127)",38,16,2.19,"+",7.3,3.64e-06,"Cluster 6"
"hydrogen ion transmembrane transport (GO:1902600)",70,29,4.04,"+",7.18,1.53e-12,"Cluster 6"
"translation (GO:0006412)",269,108,15.52,"+",6.96,3.55e-51,"Cluster 6"
"peptide biosynthetic process (GO:0043043)",274,108,15.81,"+",6.83,2e-50,"Cluster 6"
"nucleosome assembly (GO:0006334)",36,14,2.08,"+",6.74,9.88e-05,"Cluster 6"
"chromatin assembly (GO:0031497)",36,14,2.08,"+",6.74,9.88e-05,"Cluster 6"
"ribonucleoside monophosphate biosynthetic process (GO:0009156)",44,17,2.54,"+",6.7,4.04e-06,"Cluster 6"
"ribosome assembly (GO:0042255)",44,17,2.54,"+",6.7,4.04e-06,"Cluster 6"
"amide biosynthetic process (GO:0043604)",301,112,17.37,"+",6.45,5.38e-50,"Cluster 6"
"ATP metabolic process (GO:0046034)",84,31,4.85,"+",6.4,3.38e-12,"Cluster 6"
"chromatin assembly or disassembly (GO:0006333)",38,14,2.19,"+",6.39,0.000189,"Cluster 6"
"proton transport (GO:0015992)",87,32,5.02,"+",6.38,1.3e-12,"Cluster 6"
"hydrogen transport (GO:0006818)",88,32,5.08,"+",6.3,1.78e-12,"Cluster 6"
"protein peptidyl-prolyl isomerization (GO:0000413)",31,11,1.79,"+",6.15,0.00642,"Cluster 6"
"nucleoside monophosphate biosynthetic process (GO:0009124)",48,17,2.77,"+",6.14,1.43e-05,"Cluster 6"
"purine ribonucleoside triphosphate metabolic process (GO:0009205)",93,32,5.37,"+",5.96,7.93e-12,"Cluster 6"
"cellular respiration (GO:0045333)",64,22,3.69,"+",5.96,1.57e-07,"Cluster 6"
"nucleosome organization (GO:0034728)",41,14,2.37,"+",5.92,0.000469,"Cluster 6"
"purine nucleoside triphosphate metabolic process (GO:0009144)",94,32,5.42,"+",5.9,1.06e-11,"Cluster 6"
"ribonucleoside triphosphate metabolic process (GO:0009199)",96,32,5.54,"+",5.78,1.86e-11,"Cluster 6"
"ribosomal large subunit biogenesis (GO:0042273)",54,18,3.12,"+",5.78,1.31e-05,"Cluster 6"
"ATP hydrolysis coupled transmembrane transport (GO:0090662)",48,16,2.77,"+",5.78,8.99e-05,"Cluster 6"
"ATP hydrolysis coupled cation transmembrane transport (GO:0099132)",48,16,2.77,"+",5.78,8.99e-05,"Cluster 6"
"ATP hydrolysis coupled ion transmembrane transport (GO:0099131)",48,16,2.77,"+",5.78,8.99e-05,"Cluster 6"
"purine ribonucleoside monophosphate metabolic process (GO:0009167)",100,33,5.77,"+",5.72,9.39e-12,"Cluster 6"
"purine nucleoside monophosphate metabolic process (GO:0009126)",100,33,5.77,"+",5.72,9.39e-12,"Cluster 6"
"nucleoside triphosphate metabolic process (GO:0009141)",102,33,5.88,"+",5.61,1.62e-11,"Cluster 6"
"peptide metabolic process (GO:0006518)",347,112,20.02,"+",5.59,3.98e-44,"Cluster 6"
"ribonucleoside monophosphate metabolic process (GO:0009161)",106,34,6.12,"+",5.56,8.1e-12,"Cluster 6"
"nucleoside monophosphate metabolic process (GO:0009123)",110,34,6.35,"+",5.36,2.3e-11,"Cluster 6"
"cellular amide metabolic process (GO:0043603)",393,120,22.67,"+",5.29,4.17e-45,"Cluster 6"
"DNA packaging (GO:0006323)",47,14,2.71,"+",5.16,0.00231,"Cluster 6"
"establishment of protein localization to membrane (GO:0090150)",44,13,2.54,"+",5.12,0.00607,"Cluster 6"
"ribonucleoprotein complex assembly (GO:0022618)",110,31,6.35,"+",4.88,3.52e-09,"Cluster 6"
"energy derivation by oxidation of organic compounds (GO:0015980)",84,23,4.85,"+",4.75,4.35e-06,"Cluster 6"
"mRNA splicing, via spliceosome (GO:0000398)",107,29,6.17,"+",4.7,4.53e-08,"Cluster 6"
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",107,29,6.17,"+",4.7,4.53e-08,"Cluster 6"
"translational initiation (GO:0006413)",49,13,2.83,"+",4.6,0.0189,"Cluster 6"
"pharynx development (GO:0060465)",57,15,3.29,"+",4.56,0.00435,"Cluster 6"
"RNA splicing, via transesterification reactions (GO:0000375)",111,29,6.4,"+",4.53,1.06e-07,"Cluster 6"
"ribosomal small subunit biogenesis (GO:0042274)",62,16,3.58,"+",4.47,0.00257,"Cluster 6"
"ribonucleoprotein complex subunit organization (GO:0071826)",121,31,6.98,"+",4.44,3.71e-08,"Cluster 6"
"RNA splicing (GO:0008380)",128,32,7.39,"+",4.33,3.25e-08,"Cluster 6"
"mitochondrion organization (GO:0007005)",104,24,6,"+",4,4.9e-05,"Cluster 6"
"protein targeting (GO:0006605)",111,25,6.4,"+",3.9,4e-05,"Cluster 6"
"purine ribonucleotide metabolic process (GO:0009150)",161,36,9.29,"+",3.88,3.89e-08,"Cluster 6"
"ribonucleotide metabolic process (GO:0009259)",170,38,9.81,"+",3.87,1.08e-08,"Cluster 6"
"organonitrogen compound biosynthetic process (GO:1901566)",674,149,38.89,"+",3.83,3.35e-40,"Cluster 6"
"purine nucleotide metabolic process (GO:0006163)",163,36,9.4,"+",3.83,5.44e-08,"Cluster 6"
"protein-DNA complex assembly (GO:0065004)",68,15,3.92,"+",3.82,0.0344,"Cluster 6"
"ribonucleoprotein complex biogenesis (GO:0022613)",257,56,14.83,"+",3.78,2.87e-13,"Cluster 6"
"ribosome biogenesis (GO:0042254)",193,42,11.14,"+",3.77,1.93e-09,"Cluster 6"
"ribonucleotide biosynthetic process (GO:0009260)",92,20,5.31,"+",3.77,0.00176,"Cluster 6"
"ribose phosphate biosynthetic process (GO:0046390)",92,20,5.31,"+",3.77,0.00176,"Cluster 6"
"purine ribonucleotide biosynthetic process (GO:0009152)",83,18,4.79,"+",3.76,0.00637,"Cluster 6"
"ribose phosphate metabolic process (GO:0019693)",176,38,10.15,"+",3.74,2.92e-08,"Cluster 6"
"purine nucleotide biosynthetic process (GO:0006164)",84,18,4.85,"+",3.71,0.0075,"Cluster 6"
"generation of precursor metabolites and energy (GO:0006091)",113,24,6.52,"+",3.68,0.000221,"Cluster 6"
"establishment of protein localization to organelle (GO:0072594)",104,22,6,"+",3.67,0.000794,"Cluster 6"
"purine-containing compound metabolic process (GO:0072521)",177,37,10.21,"+",3.62,1.32e-07,"Cluster 6"
"mRNA processing (GO:0006397)",160,33,9.23,"+",3.57,1.96e-06,"Cluster 6"
"purine-containing compound biosynthetic process (GO:0072522)",90,18,5.19,"+",3.47,0.0189,"Cluster 6"
"nucleoside phosphate metabolic process (GO:0006753)",230,44,13.27,"+",3.32,3.53e-08,"Cluster 6"
"nucleotide metabolic process (GO:0009117)",227,43,13.1,"+",3.28,8.12e-08,"Cluster 6"
"nucleoside phosphate biosynthetic process (GO:1901293)",124,23,7.15,"+",3.21,0.00393,"Cluster 6"
"nucleotide biosynthetic process (GO:0009165)",121,22,6.98,"+",3.15,0.00893,"Cluster 6"
"nucleobase-containing small molecule metabolic process (GO:0055086)",255,46,14.71,"+",3.13,8.26e-08,"Cluster 6"
"cellular macromolecular complex assembly (GO:0034622)",417,71,24.06,"+",2.95,6.4e-12,"Cluster 6"
"rRNA processing (GO:0006364)",132,22,7.62,"+",2.89,0.0336,"Cluster 6"
"mRNA metabolic process (GO:0016071)",229,35,13.21,"+",2.65,0.000877,"Cluster 6"
